,Before,After
Energy Close,1.3610448120385628,2.6473464550170567
Finance Close,0.3632661998440787,0.6007790388742682
Technology Close,0.7472838946690669,0.5286295833910629
Healthcare Close,0.9072354452897846,1.2801237571287598
S&P 500 Close,2.0971498306682785,4.2062839439754836
