,Before,After
Energy Close,1.7779251319216929,0.9119124865987556
Finance Close,0.47961767184641385,0.32263525847948454
Technology Close,0.534833088339066,0.580608460436104
Healthcare Close,0.8222469002040175,0.584656861223363
S&P 500 Close,1.8654907348657541,1.5094227923356787
