,Before,After
Energy Close,1.1795706168675866,2.0960860487466197
Finance Close,0.22481870415005983,0.757592755532327
Technology Close,0.3909662653112399,1.2680531158149078
Healthcare Close,2.3032065040320697,0.9851041837494867
S&P 500 Close,2.608788362740865,3.9678056306286353
